,TCGA-2L-AAQE-01A,TCGA-2L-AAQI-01A,TCGA-3A-A9IB-01A,TCGA-3E-AAAZ-01A,TCGA-F2-A7TX-01A,TCGA-FB-A5VM-01A,TCGA-FB-A78T-01A,TCGA-IB-7651-01A,TCGA-IB-7890-01A,TCGA-IB-A5SS-01A,TCGA-IB-AAUO-01A,TCGA-IB-AAUW-01A,TCGA-PZ-A5RE-01A,TCGA-US-A779-01A,TCGA-XD-AAUI-01A,TCGA-2J-AAB6-01A,TCGA-IB-AAUQ-01A,TCGA-LB-A7SX-01A
ENSG00000007516.14,2321,1327,1325,425,1300,1022,1533,1093,710,1165,343,2545,2101,1333,1067,1198,1220,483
ENSG00000007520.4,2373,1589,2744,2452,1993,2278,1749,2050,1336,1907,1766,1416,2364,2244,1109,1356,1521,1974
ENSG00000007541.17,4921,2294,3916,2380,2020,1839,3399,2486,1876,1907,3482,2430,3379,3009,1627,1657,2133,2923
ENSG00000007545.16,1097,448,832,1147,616,647,1458,565,513,374,822,991,604,821,835,528,651,1011
ENSG00000007866.22,2539,1890,2528,4717,1939,3262,3179,3877,2223,2926,2588,1958,3253,1718,2430,2127,2021,2527
ENSG00000007908.16,91,133,688,494,411,239,45,78,24,56,126,1660,31,30,180,42,12,1346
ENSG00000007923.16,1138,964,1073,1378,1669,587,1491,1820,1030,1638,682,1505,1119,1035,1050,979,730,1624
ENSG00000007933.13,145,402,286,56,317,261,280,4138,825,255,67,373,176,123,201,459,452,786
ENSG00000007944.15,743,984,818,1827,981,458,906,2115,671,759,700,1294,1130,450,1143,333,545,950
ENSG00000007952.18,32,32,27,82,24,64,50,60,21,43,38,46,456,88,220,35,40,190
ENSG00000007968.7,135,98,145,200,245,194,139,206,54,125,155,172,195,151,178,124,78,455
ENSG00000008018.9,4543,4763,9895,6063,8552,13610,7150,10550,3918,5674,6490,5905,6493,5993,7760,4550,5252,5784
ENSG00000008056.14,56,152,314,96,76,343,429,137,261,357,249,182,532,367,334,383,322,102
ENSG00000008083.14,924,955,1587,887,1215,2012,1240,2267,1139,1187,585,1316,896,447,926,1069,712,913
ENSG00000008086.13,942,1083,1089,946,981,375,915,2199,2036,2578,514,1507,726,981,812,631,729,933
ENSG00000008118.10,25,46,71,76,52,55,55,227,63,79,12,78,59,44,78,136,78,54
ENSG00000008128.23,77,48,51,39,37,72,159,67,23,39,126,69,70,77,98,50,59,151
ENSG00000008130.15,4128,2188,3413,3266,3597,1742,4601,3912,1617,3267,3697,4247,4916,3825,3054,2611,2102,3655
ENSG00000008196.13,0,0,1,0,0,1,5,2,1,0,6,0,0,0,0,0,2,87
ENSG00000008197.5,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
ENSG00000008226.20,86,35,53,77,30,54,128,57,23,71,119,112,32,128,50,17,57,155
ENSG00000008256.16,2333,2219,3052,2906,1643,2005,1820,6518,4339,5254,1554,3097,2560,1165,2338,1711,2666,1768
ENSG00000008277.14,730,386,1001,805,519,477,539,1595,1010,832,218,759,625,143,798,491,910,163
ENSG00000008282.9,7067,10422,6634,10737,11646,4501,4808,8793,4698,8024,4363,8167,3324,6588,7031,6385,4392,7904
ENSG00000008283.16,10854,8764,7995,6582,6955,4579,6700,6218,4181,11901,9104,7188,8039,5364,3231,3240,4013,9465
ENSG00000008294.21,4553,4150,6286,6178,5747,3639,4449,10137,6182,6262,3071,5793,3838,2285,4776,2599,3270,2732
ENSG00000008300.17,2406,864,590,2403,272,606,814,603,995,1055,319,521,1113,836,1523,1491,849,698
ENSG00000008311.15,493,465,601,895,378,338,1722,1450,605,407,601,1118,348,412,984,322,978,620
ENSG00000008323.15,1310,1637,2155,979,2983,959,1402,1244,516,2021,843,1337,2557,1549,1290,136,517,862
ENSG00000008324.12,874,500,765,836,500,2079,869,971,344,641,953,780,1153,882,854,814,582,657
ENSG00000008382.16,917,633,633,779,462,698,816,982,397,470,658,546,784,876,348,369,286,559
ENSG00000008394.13,2290,6419,5832,3898,4626,3478,3097,2861,935,4419,4171,4944,1523,4200,1374,2352,2677,2285
ENSG00000008405.12,572,746,1591,1492,1032,530,1103,1606,1055,757,755,1906,1058,513,1094,541,909,760
ENSG00000008438.5,3,2,2,9,1,3,5,4,3,1,4,7,6,1,3,0,3,4
ENSG00000008441.18,3249,4470,6324,8136,2952,2329,4713,7490,6015,4627,4080,8001,3093,4062,3881,3123,4135,3877
ENSG00000008513.16,13545,5420,9232,2694,9020,5860,6311,17143,9451,9587,4137,6735,5269,8945,4980,3601,3696,4528
ENSG00000008516.17,98,44,71,69,181,98,91,178,30,38,137,202,96,44,127,39,77,107
