,TCGA-02-0055,TCGA-06-0129,TCGA-06-0130,TCGA-06-0190,TCGA-06-0190,TCGA-06-0210,TCGA-06-0210,TCGA-06-2558,TCGA-12-0619,TCGA-14-1402,TCGA-16-1045,TCGA-19-2625,TCGA-32-1982,TCGA-32-2638,TCGA-76-4927,TCGA-06-2565,TCGA-12-0821,TCGA-14-0871
ENSG00000007908.16,150,10,68,69,103,44,88,25,11,24,3,4,0,6,14,9,7,4
ENSG00000007923.16,1119,2675,1405,880,747,1419,1764,1505,2481,525,688,1338,357,1123,1025,2145,804,424
ENSG00000007933.13,146,32,28,80,61,30,32,89,36,73,79,53,48,58,75,57,810,4
ENSG00000007944.15,680,803,1087,1149,1759,879,989,702,1178,717,832,303,395,869,263,1486,1195,683
ENSG00000007952.18,39,59,47,37,38,49,51,37,69,64,15,84,21,71,42,111,99,7
ENSG00000007968.7,119,2528,281,248,314,172,513,712,1260,155,103,516,63,198,320,172,388,34
ENSG00000008018.9,12384,5902,6333,6703,8263,7945,5770,7311,8131,11660,2854,7980,2297,7593,4706,7159,10665,1253
ENSG00000008056.14,1036,603,149,363,235,428,335,2285,295,514,235,274,452,554,327,223,1678,23
ENSG00000008083.14,1015,2746,771,1230,1464,1055,1321,1315,1260,418,923,635,214,1430,750,1633,1263,757
ENSG00000008086.13,686,1181,748,402,804,387,774,862,717,184,600,408,149,656,272,560,478,243
ENSG00000008118.10,150,17,14,67,19,18,25,184,27,116,25,15,108,157,52,323,172,86
ENSG00000008128.23,65,88,55,16,16,77,68,52,130,29,67,142,24,43,20,70,128,19
ENSG00000008130.15,2491,4155,3922,3228,3406,3520,3608,2472,6508,1603,3773,3875,869,2544,2506,3972,3291,577
ENSG00000008196.13,4,105,1,3,2,78,66,302,70,17,0,88,2,0,13,74,69,4
ENSG00000008197.5,0,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226.20,23,392,53,79,25,79,482,133,505,80,627,222,47,287,91,170,596,5
ENSG00000008256.16,2245,3128,2919,2926,3692,2677,4479,3513,2913,849,2665,1446,1204,3311,2108,3063,4075,328
ENSG00000008277.14,994,6052,1299,1142,425,965,1657,3668,2122,1149,2071,1348,427,1811,1852,2191,1482,215
ENSG00000008282.9,6306,2623,7324,6677,6448,7932,6172,4305,8651,5429,4706,3472,2252,5622,4138,3711,6994,582
ENSG00000008283.16,1143,585,2208,1512,2481,1378,1490,1104,3027,993,1094,2204,517,2485,1332,2068,1657,161
ENSG00000008294.21,4110,19808,4724,6275,4487,9903,10799,12380,10881,5799,7291,7084,2112,14800,6293,15282,11885,570
ENSG00000008300.17,244,4830,345,697,313,476,677,1797,2337,165,434,135,263,819,727,1735,648,239
ENSG00000008311.15,955,5392,914,1479,1033,2362,2211,2264,2615,877,1936,1716,689,3337,1611,5823,2457,355
ENSG00000008323.15,24,7,25,16,11,9,16,8,31,2,64,28,4,17,15,4,10,23
ENSG00000008324.12,877,925,763,499,536,709,575,1386,729,1113,574,590,272,586,390,474,1215,160
ENSG00000008382.16,364,477,340,240,181,328,443,383,428,204,335,605,119,550,332,405,334,72
ENSG00000008394.13,14689,1220,8420,4630,2920,5455,8755,1128,14398,3906,5159,19242,1357,2273,1820,840,7636,266
ENSG00000008405.12,1187,2144,1228,1643,1044,2393,1496,2116,2216,1595,1242,1367,563,4323,2068,3038,1729,220
ENSG00000008438.5,29,12,1,10,18,29,4,6,18,5,5,4,0,3,1,5,1,1
ENSG00000008441.18,4972,43824,10823,13237,10879,14273,20749,18728,22097,8157,15320,21272,5514,27082,12815,30610,26750,1148
ENSG00000008513.16,2224,771,1866,1608,4194,1444,1688,1150,1878,367,1593,739,354,1911,770,1773,437,324
