,C3L-00928-03,C3L-01032-01,C3L-01598-02,C3L-01971-02,C3L-04853-01,C3N-00302-02,C3N-01167-01,C3N-02696-02-2,C3N-03000-02,C3N-03853-02,C3N-04282-01,C3L-02606-02,C3L-03639-03,C3L-03743-01,C3N-02696-02,C3N-04284-01
ENSG00000188334.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188338.15,46,31,1,106,180,86,40,875,11,39,8,33,21,6,666,465
ENSG00000188340.2,1,0,4,0,0,1,0,2,0,0,0,1,0,1,0,1
ENSG00000188342.12,998,477,1186,740,994,1297,2224,833,1308,674,1028,1219,1977,1502,1123,771
ENSG00000188343.13,435,543,823,848,872,1220,874,1310,1028,855,845,601,892,1152,1479,1065
ENSG00000188352.12,2064,1221,3630,3821,2735,3203,3113,4458,2994,1311,5795,2323,3120,3200,4215,3658
ENSG00000188365.3,28,39,32,23,31,36,115,80,31,31,43,44,20,28,61,56
ENSG00000188368.10,9,17,4,4,10,8,57,7,10,5,8,28,25,4,12,4
ENSG00000188372.15,88,100,105,94,60,128,348,75,62,39,232,115,143,74,77,49
ENSG00000188373.5,0,634,0,1,159,150,23,0,38,1,0,19,0,0,0,1
ENSG00000188375.5,1,3,7,11,20,22,5,9,10,2,15,17,12,9,16,6
ENSG00000188379.7,0,0,1,0,2,1,2,0,0,0,0,3,1,0,0,0
ENSG00000188383.8,4,8,4,2,5,9,5,8,3,0,6,5,2,2,7,4
ENSG00000188385.12,90,74,105,67,50,60,84,167,45,67,52,51,12,94,170,67
ENSG00000188386.8,0,2,1,0,0,4,4,6,1,1,2,0,0,2,9,0
ENSG00000188388.10,9,6,0,1,6,4,4,2,3,39,4,1,5,3,0,3
ENSG00000188389.11,64,33,62,111,96,16,25,67,18,23,220,34,124,28,91,12
ENSG00000188393.9,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2
ENSG00000188394.8,119,150,143,134,81,133,197,142,150,51,114,100,84,82,142,75
ENSG00000188396.4,76,131,98,116,115,132,130,144,109,75,69,166,85,97,189,75
ENSG00000188399.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188403.7,2,0,11,4,6,2,1,6,3,1,3,0,1,2,8,0
ENSG00000188404.10,841,100,442,839,692,208,527,417,107,457,349,629,453,402,433,165
ENSG00000188408.5,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0
ENSG00000188419.14,1370,1231,1866,1430,1657,1469,3128,1707,1747,1430,2803,1475,1690,2636,2163,1286
ENSG00000188425.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000188428.20,456,341,625,468,659,395,600,677,622,404,612,410,1021,760,840,481
ENSG00000188438.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000188439.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000188451.8,70,47,52,82,84,123,157,245,87,84,52,115,98,81,149,112
ENSG00000188452.14,73,14,76,147,154,59,383,111,15,79,42,7,57,56,125,48
ENSG00000188459.4,3,5,4,2,1,1,1,10,7,3,3,3,4,4,5,2
ENSG00000188460.4,7,4,6,3,6,14,2,5,4,1,4,4,12,2,7,0
ENSG00000188467.11,1,1,0,0,2,2,3,6,1,1,1,0,1,4,7,0
ENSG00000188483.8,488,367,456,290,446,957,763,111,251,162,747,594,391,253,579,113
ENSG00000188486.3,391,592,894,805,321,443,834,183,259,192,323,452,534,448,607,224
ENSG00000188487.12,26,110,49,76,67,60,138,42,4,39,16,12,36,45,35,79
ENSG00000188488.14,1392,636,2661,2524,3975,2339,1418,6561,299,2445,2794,466,1253,529,5617,4715
ENSG00000188493.15,107,276,113,95,125,572,139,380,143,108,171,184,329,179,277,138
ENSG00000188501.11,10,7,13,4,13,22,19,31,17,11,24,6,11,11,15,7
ENSG00000188505.5,16,18,35,183,34,24,39,150,254,9,9,385,91,6,70,218
ENSG00000188508.11,3,38,2,3,4,11,5,11,555,5,2,6,0,0,1,9
ENSG00000188511.12,107,155,102,83,91,74,226,212,81,60,89,86,68,60,176,58
ENSG00000188512.6,0,2,5,1,3,1,4,1,1,1,3,9,1,1,4,1
ENSG00000188517.16,48,32,53,67,52,66,27,115,41,23,35,33,36,63,121,44
ENSG00000188522.15,859,571,444,792,794,479,1648,671,550,359,446,569,1025,1110,1035,593
ENSG00000188523.9,3,10,2,5,10,14,3,17,11,2,4,1,5,1,14,4
ENSG00000188525.4,3,8,5,8,4,11,13,36,3,9,4,9,7,6,31,44
ENSG00000188529.15,3842,2633,6617,5971,6517,5415,8627,6155,5964,8367,9570,4560,8415,8057,7929,4732
ENSG00000188536.13,221,4,140,663,8,3,142,20,212,526,151,37,7,241,29,64
ENSG00000188542.10,104,151,252,344,239,167,727,377,274,182,273,145,156,235,371,219
ENSG00000188549.12,1581,4010,542,678,1865,1106,715,2481,1736,593,3242,1021,976,1718,2208,680
ENSG00000188554.15,6102,5159,8430,6387,9778,6071,9327,8496,7731,6494,11397,7164,6553,8722,10098,5005
ENSG00000188558.6,3,2,5,22,1,4,1,4,1,3,2,0,0,2,2,2
ENSG00000188559.15,3683,4528,4897,6047,6799,5862,14931,9066,4689,6721,5392,6463,6963,7013,7801,6538
